board,board_label,algorithm,algorithm_label,operation,msg_len,security_family,security_basis,security_bits,latency_us_per_op_mean,cycles_total_mean,energy_uJ_per_op_mean,security_bits_per_cycle,security_bits_per_uJ,assumption_note,source_file
nrf52,nRF52840 DK,ml_kem_512,ML-KEM-512,decap,0,classical,nist_cat1_aes128eq,128,24182.7812,15476980.0,247.955667,8.270347315820012e-06,0.516221313062387,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/nrf52_summary.csv
nrf52,nRF52840 DK,ml_kem_512,ML-KEM-512,encap,0,classical,nist_cat1_aes128eq,128,19842.4813,12699188.0,321.443405,1.0079384603173053e-05,0.3982038455571985,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/nrf52_summary.csv
nrf52,nRF52840 DK,ml_kem_512,ML-KEM-512,keygen,0,classical,nist_cat1_aes128eq,128,17237.1437,11031772.0,298.365679,1.1602850385232762e-05,0.4290037662140088,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/nrf52_summary.csv
pico,RP2040 Pico,aes_128_gcm,AES-128-GCM,aead,1024,classical,classical_128,128,309324.993,193328120.0,81499.0193,6.620868190307753e-07,0.0015705710461230054,AES-128 security strength normalization.,results/summary/pico_summary.csv
pico,RP2040 Pico,ascon_aead128,Ascon-AEAD128,aead,1024,classical,classical_128,128,1467.92928,91745579.8,468.241366,1.3951625819906803e-06,0.2733632893083607,Ascon-AEAD128 normalized to 128-bit security strength.,results/summary/pico_summary.csv
pico,RP2040 Pico,ascon_aead80pq,Ascon-80pq,aead,1024,classical,classical_128,128,1928.46438,120529024.0,620.570864,1.0619848709635283e-06,0.20626169777767717,Classical-security normalization for Ascon-80pq. The 160-bit key does not imply a 160-bit classical claim; the original Ascon security claim remains 128-bit against classical attacks.,results/summary/pico_summary.csv
pico,RP2040 Pico,gift_cofb,GIFT-COFB,aead,1024,classical,classical_128,128,1487.55718,92972323.6,414.545303,1.3767538020314684e-06,0.3087720427024112,GIFT-COFB normalized to a 128-bit AEAD security target.,results/summary/pico_summary.csv
pico,RP2040 Pico,ml_kem_512,ML-KEM-512,decap,0,classical,nist_cat1_aes128eq,128,14447.2176,18059022.0,4609.4123,7.087869985428889e-06,0.02776926681086871,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/pico_summary.csv
pico,RP2040 Pico,ml_kem_512,ML-KEM-512,encap,0,classical,nist_cat1_aes128eq,128,11925.6176,14907022.0,3867.64842,8.586557395568343e-06,0.033095045386777946,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/pico_summary.csv
pico,RP2040 Pico,ml_kem_512,ML-KEM-512,keygen,0,classical,nist_cat1_aes128eq,128,10209.8552,12762319.0,3399.98576,1.0029525198359327e-05,0.037647216498930276,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/pico_summary.csv
rpi5,Raspberry Pi 5,aes_128_gcm,AES-128-GCM,aead,1024,classical,classical_128,128,3401.83259,918494.8,0.0,0.00013935843730416328,,AES-128 security strength normalization.,results/summary/rpi5_summary.csv
rpi5,Raspberry Pi 5,ascon_aead128,Ascon-AEAD128,aead,1024,classical,classical_128,128,5.792104,156386.8,0.0,0.0008184834014123955,,Ascon-AEAD128 normalized to 128-bit security strength.,results/summary/rpi5_summary.csv
rpi5,Raspberry Pi 5,ascon_aead80pq,Ascon-80pq,aead,1024,classical,classical_128,128,7.0526518,190421.6,0.0,0.0006721926504136086,,Classical-security normalization for Ascon-80pq. The 160-bit key does not imply a 160-bit classical claim; the original Ascon security claim remains 128-bit against classical attacks.,results/summary/rpi5_summary.csv
rpi5,Raspberry Pi 5,gift_cofb,GIFT-COFB,aead,1024,classical,classical_128,128,19.1403478,516789.4,0.0,0.0002476830987632486,,GIFT-COFB normalized to a 128-bit AEAD security target.,results/summary/rpi5_summary.csv
rpi5,Raspberry Pi 5,ml_kem_512,ML-KEM-512,decap,0,classical,nist_cat1_aes128eq,128,77.7570368,41988.8,0.0,0.00304843196280913,,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/rpi5_summary.csv
rpi5,Raspberry Pi 5,ml_kem_512,ML-KEM-512,encap,0,classical,nist_cat1_aes128eq,128,58.704074,31700.2,0.0,0.004037829414325462,,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/rpi5_summary.csv
rpi5,Raspberry Pi 5,ml_kem_512,ML-KEM-512,keygen,0,classical,nist_cat1_aes128eq,128,47.2092594,25493.0,0.0,0.005020986153061625,,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/rpi5_summary.csv
stm32,STM32 F446RE,aes_128_gcm,AES-128-GCM,aead,1024,classical,classical_128,128,150101.456,135091310.0,38245.1476,9.475072822966925e-07,0.0033468298080251103,AES-128 security strength normalization.,results/summary/stm32_summary.csv
stm32,STM32 F446RE,ascon_aead128,Ascon-AEAD128,aead,1024,classical,classical_128,128,639.255267,57532974.0,196.907788,2.2248111144054536e-06,0.6500504693090148,Ascon-AEAD128 normalized to 128-bit security strength.,results/summary/stm32_summary.csv
stm32,STM32 F446RE,ascon_aead80pq,Ascon-80pq,aead,1024,classical,classical_128,128,833.915067,75052356.0,216.155643,1.7054761079052602e-06,0.5921658959419348,Classical-security normalization for Ascon-80pq. The 160-bit key does not imply a 160-bit classical claim; the original Ascon security claim remains 128-bit against classical attacks.,results/summary/stm32_summary.csv
stm32,STM32 F446RE,gift_cofb,GIFT-COFB,aead,1024,classical,classical_128,128,624.437956,56199416.0,198.671196,2.2776037388004176e-06,0.6442806132802462,GIFT-COFB normalized to a 128-bit AEAD security target.,results/summary/stm32_summary.csv
stm32,STM32 F446RE,ml_kem_512,ML-KEM-512,decap,0,classical,nist_cat1_aes128eq,128,7418.37444,13353074.0,1255.049,9.585807732361852e-06,0.10198804986896925,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/stm32_summary.csv
stm32,STM32 F446RE,ml_kem_512,ML-KEM-512,encap,0,classical,nist_cat1_aes128eq,128,6243.37278,11238071.0,1084.5377,1.1389855073882341e-05,0.11802263766395579,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/stm32_summary.csv
stm32,STM32 F446RE,ml_kem_512,ML-KEM-512,keygen,0,classical,nist_cat1_aes128eq,128,5653.98667,10177176.0,962.420107,1.2577162859323648e-05,0.13299805258536643,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/stm32_summary.csv
